歌手,連結,歌詞
陳奕迅,https://www.kkbox.com/tw/tc/song/yDC00XKTH8ImwbVgmwbVg0XL-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/JhNAZDR0FGI111-a91-a90P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/AXsuDNf09CI11ZXSdZXSd0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/3JNKJ2MT9E35l4T75l4T70PL-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/f-79F4R07H-TXSUStSUSt0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/Hy5166E09Q311-w1X-w1X0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/pE5QVE106KKMHOqUVOqUV0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/wpW00W.9cGZlC9Z7lC9Z70XL-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/0OU.M67061XIHN7qnN7qn0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/4EKXtU53qStU3PhT7PhT70P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/AwrnGO001KKMH5llV5llV0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/lIQ054e08XKDZXlhRXlhR0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/bhHCtko011a9X44KL44KL0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/3FglBd405SJGmLmsOLmsO0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/0IEdx4M0F.KDZ3czv3czv0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/2XGP5UB04a8Q7J1wFJ1wF0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/suw00Hl.pTmS8STSS8STS0XL-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/sZHaRby3pDM2JKRcxKRcx0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/aaUJss909OLG2-fWe-fWe0P4-index.html,
陳奕迅,https://www.kkbox.com/tw/tc/song/bO6UY0YDsKM1LNWK1LNWK0PL-index.html,
