歌手,連結,歌詞
Taylor Swift,https://www.kkbox.com/tw/tc/song/9yrJnn701COE151rh51rh0P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/F.RFQBU04COE1GUIhGUIh0P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/ELaVXEo03OtSIDsaWDsaW0P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/8ah00-1.O94pkgd-pkgd-0XL-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/Jlx0051.a438TZgN8TZgN0XL-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/SgyDxrL09DqCYZl92Zl920P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/lTX8hsc08DqCYVx02Vx020P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/8eYRhf1098OE1ZA.DZA.D0P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/u3z00XWHHTYnINEmnINEm0XL-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/Y-300ULHnLojQVQajQVQa0XL-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/HM700QGHHTYd9rKmd9rKm0XL-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/QN8Dysz05HqCYKszYKszY0P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/RzRpB0s0kWI2H4rS2H4rS0PL-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/vWrptU103GOE1D2-DD2-D0P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/kDMw8SD04--S8ImK-ImK-0P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/hT800yLHnLo5gCya5gCya0XL-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/5Y4EqF302HqCY9S-Y9S-Y0P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/9rG00HqHnLoSPaZaSPaZa0XL-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/.pz5T-p0FHqCY1oIY1oIY0P4-index.html,
Taylor Swift,https://www.kkbox.com/tw/tc/song/-Jk00CH.a43Ia3aNIa3aN0XL-index.html,
