歌曲,歌手,連結,歌詞
Yummy,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/bgD00-PXY8Lqozj7qozj70XL-index.html,
Intentions,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/VqF00.0D74.s38vps38vp0XL-index.html,
Salt,Ava Max (艾娃麥絲),https://www.kkbox.com/tw/tc/song/K3P00SlOXK5fauY1fauY10XL-index.html,
Into the Unknown,Various Artists,https://www.kkbox.com/tw/tc/song/YdP00YKG4aKpJsa2pJsa20XL-index.html,
Be Kind,Marshmello Halsey,https://www.kkbox.com/tw/tc/song/tfs00GpGpD5Px3THPx3TH0XL-index.html,
Rain On Me,Lady Gaga Ariana Grande,https://www.kkbox.com/tw/tc/song/hs2009pUOHLGS5arGS5ar0XL-index.html,
Dynamite,BTS防彈少年團 (BANGTAN BOYS),https://www.kkbox.com/tw/tc/song/pk200wZ4-aL1ODk31ODk30XL-index.html,
Alone  Pt. II,Alan Walker Ava Max,https://www.kkbox.com/tw/tc/song/2kE00a9MPO5uz1Tpuz1Tp0XL-index.html,
You should be sad,Halsey (海爾希),https://www.kkbox.com/tw/tc/song/Ftx00Hs9XGLSWR2bSWR2b0XL-index.html,
Funny,Zedd & Jasmine Thompson,https://www.kkbox.com/tw/tc/song/31q00-PW6HLqom7rqom7r0XL-index.html,
Physical,Dua Lipa,https://www.kkbox.com/tw/tc/song/R71008q6MWLE51FFE51FF0XL-index.html,
Sour Candy (酸糖),Lady Gaga,https://www.kkbox.com/tw/tc/song/ji300X.DGXLn.3J7n.3J70XL-index.html,
Stuck with U,Ariana Grande Justin Bieber,https://www.kkbox.com/tw/tc/song/yPR00CYH5X5JE28LJE28L0XL-index.html,
Kings & Queens,Ava Max (艾娃麥絲),https://www.kkbox.com/tw/tc/song/2GE00-6GNGLq1hK7q1hK70XL-index.html,
Break My Heart,Dua Lipa,https://www.kkbox.com/tw/tc/song/xXS00L7694pWbN6FWbN6F0XL-index.html,
Show Yourself,Various Artists,https://www.kkbox.com/tw/tc/song/EKg00O.G4aK.Hil2.Hil20XL-index.html,
Underdog,Alicia Keys (艾莉西亞凱斯),https://www.kkbox.com/tw/tc/song/dv700PoO98LcDRWzcDRWz0XL-index.html,
Ice Cream (with Selena Gomez),BLACKPINK (블랙핑크),https://www.kkbox.com/tw/tc/song/zAk0092GKaLESjMJESjMJ0XL-index.html,
Stupid Love,Lady Gaga,https://www.kkbox.com/tw/tc/song/ZQ800TdAPS.hqdKDhqdKD0XL-index.html,
Say So,Doja Cat,https://www.kkbox.com/tw/tc/song/g3500TlTtD5i06gHi06gH0XL-index.html,
everything i wanted,Billie Eilish (怪奇比莉),https://www.kkbox.com/tw/tc/song/ObI00H7KNaKQf9KeQf9Ke0XL-index.html,
Sweet Night,BTS V,https://www.kkbox.com/tw/tc/song/j9V00-aDd4prDoLjrDoLj0XL-index.html,
LAVA!,ØZI,https://www.kkbox.com/tw/tc/song/H6F00T..6.phdqlVhdqlV0XL-index.html,
Family,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/0BH00Dr4HK5MU-FHMU-FH0XL-index.html,
Midnight,Alesso,https://www.kkbox.com/tw/tc/song/fnr00yJDrKp5-DFz5-DFz0XL-index.html,
Adore You,Harry Styles (1世代之哈利),https://www.kkbox.com/tw/tc/song/VBC00ENW4S5NhWIXNhWIX0XL-index.html,
Forever,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/gtH00-GSGG.qI5QPqI5QP0XL-index.html,
All Is Found,Various Artists,https://www.kkbox.com/tw/tc/song/T6I00I4G4aKSrqw2Srqw20XL-index.html,
