歌曲,歌手,連結,歌詞
愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲,茄子蛋 (EggPlantEgg),https://www.kkbox.com/tw/tc/song/L9f00x6LnYM2le.82le.80XL-index.html,
在這座城市遺失了你 (Where I Lost Us) - 戲劇《他們創業的那些鳥事》插曲,告五人 (AccuseFive),https://www.kkbox.com/tw/tc/song/Tzn00E8MJ1MNANMWNANMW0XL-index.html,
因為你 所以我 (Because Of You),五月天 (Mayday),https://www.kkbox.com/tw/tc/song/.xR00G7YGLMOJydwOJydw0XL-index.html,
四季予你,程響,https://www.kkbox.com/tw/tc/song/EUu00SL8N.MecLk-ecLk-0XL-index.html,
阿拉斯加海灣,蔡恩雨 (Priscilla Abby),https://www.kkbox.com/tw/tc/song/gN400G.DPDaPMbW6PMbW60XL-index.html,
白月光與朱砂痣,大籽,https://www.kkbox.com/tw/tc/song/pJ90093MHXaEXEeuEXEeu0XL-index.html,
失重前幸褔,艾薇,https://www.kkbox.com/tw/tc/song/XG2008rXIL6EBLU2EBLU20XL-index.html,
如果能幸福 (Fortunate) - HBO Asia原創影集《戒指流浪記》片尾曲,Eric 周興哲,https://www.kkbox.com/tw/tc/song/q.d00-0KPP6pfDRUpfDRU0XL-index.html,
緩緩,aMEI (張惠妹),https://www.kkbox.com/tw/tc/song/6Yh00Y1YGLMo-9Jwo-9Jw0XL-index.html,
唯一 (The One And Only) - 三立/台視戲劇《戀愛是科學》插曲,告五人 (AccuseFive),https://www.kkbox.com/tw/tc/song/E9U00yOMJ1M5s6-W5s6-W0XL-index.html,
醜人多作怪 (Mischief) - 《新斗羅大陸》手遊半週年主題曲,告五人 (AccuseFive),https://www.kkbox.com/tw/tc/song/f9.009cMJ1MG0aUWG0aUW0XL-index.html,
漸冷,雪二,https://www.kkbox.com/tw/tc/song/EQv00UI11LajDPXUjDPXU0XL-index.html,
我很好騙 (Love Me True),動力火車 (Power Station),https://www.kkbox.com/tw/tc/song/A8300LHC-GNWr8g1Wr8g10XL-index.html,
我這個人 - 《我沒有談的那場戀愛》電影宣傳主題曲,艾怡良 (Eve Ai),https://www.kkbox.com/tw/tc/song/yt600KY239MV7.isV7.is0XL-index.html,
不完美的我 (電影《跟你老婆去旅行》主題曲),蕭敬騰 (Jam Hsiao),https://www.kkbox.com/tw/tc/song/-fa00X0S.Hqm77F-m77F-0XL-index.html,
愛我的時候 (When You Loved Me),Eric 周興哲 單依純,https://www.kkbox.com/tw/tc/song/1Rl00OX0ZMM.115g.115g0XL-index.html,
平凡天使 (Angels),G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/WT30047G05q6Pgjk6Pgjk0XL-index.html,
我不需要每一個人都愛我 - A Rock Can Be A Star,八三夭 (831),https://www.kkbox.com/tw/tc/song/d5d00O71q47-BnwB-BnwB0XL-index.html,
潛台詞,邱鋒澤 (Feng Ze),https://www.kkbox.com/tw/tc/song/hHX008n0aX6DsvKUDsvKU0XL-index.html,
清空,王忻辰 蘇星婕,https://www.kkbox.com/tw/tc/song/CLU00Kk.1TqVdOTGVdOTG0XL-index.html,
日環食,邱鋒澤 (Feng Ze),https://www.kkbox.com/tw/tc/song/4Ds00HLXr.MRB2L4RB2L40XL-index.html,
平行世界 (Parallel),G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/FNY004-DlA67QS5M7QS5M0XL-index.html,
星辰大海 (STARS AND SEA),黃霄雲,https://www.kkbox.com/tw/tc/song/6cK00-98L5qqCON8qCON80XL-index.html,
過 (Should've Let Go),王嘉爾 (Jackson Wang),https://www.kkbox.com/tw/tc/song/2XX00Gb9d1MPTtj0PTtj00XL-index.html,
Till My Ride Comes (電影《複身犯》主題曲),高爾宣 OSN,https://www.kkbox.com/tw/tc/song/tg-00PMYKHqb9qcCb9qcC0XL-index.html,
想啊，想著你 (Thinking About You) - 影視旗艦大戲《她們創業的那些鳥事》片尾曲,吳汶芳 (Fang Wu),https://www.kkbox.com/tw/tc/song/6v900Cs17XqK9ZE4K9ZE40XL-index.html,
寫一條歌，寫你我爾爾,蕭煌奇 (Ricky Hsiao),https://www.kkbox.com/tw/tc/song/RGZ00.LXt-7syP7ZsyP7Z0XL-index.html,
各自安好 (Each Well),劉若英 (Rene Liu),https://www.kkbox.com/tw/tc/song/Cl400xHM8K734mqR34mqR0XL-index.html,
最美的風景 (feat. 莫宰羊),Marz23,https://www.kkbox.com/tw/tc/song/SM200Dp00KNMMWr5MMWr50XL-index.html,
懂得雨天 (Through the rain) - 三立華劇《未來媽媽》片頭曲,郁可唯 (Yisa Yu),https://www.kkbox.com/tw/tc/song/ryy00OWTbHM.02ZW.02ZW0XL-index.html,
薩哈星球,蕭敬騰 (Jam Hsiao),https://www.kkbox.com/tw/tc/song/SVL004O4G9672ZWa72ZWa0XL-index.html,
白色 (White) - 《緊急公關》戲劇插曲,白安 (Ann),https://www.kkbox.com/tw/tc/song/maD00LOA3TaXHfjqXHfjq0XL-index.html,
把回憶拼好給你,王貳浪,https://www.kkbox.com/tw/tc/song/.G700Gr94CMQ3x6SQ3x6S0XL-index.html,
Sweet Baby,頑童MJ116,https://www.kkbox.com/tw/tc/song/Ipd00.ILb8bslkMvslkMv0XL-index.html,
藍色天空 (Blue Sky),九九 (Sophie Chen),https://www.kkbox.com/tw/tc/song/RVh00aGC15av1gjiv1gji0XL-index.html,
餘額,孫燕姿 (Yanzi Sun),https://www.kkbox.com/tw/tc/song/gLK00OrGdDq.zaQ0.zaQ00XL-index.html,
HAVE A NICE DAY,魏如萱 (waa wei),https://www.kkbox.com/tw/tc/song/FP800S4HtCNdzO1LdzO1L0XL-index.html,
三個字,阿冗,https://www.kkbox.com/tw/tc/song/KV500-NaMAMqhsC8qhsC80XL-index.html,
同樣一個你 (The Same),告五人 (AccuseFive),https://www.kkbox.com/tw/tc/song/FDK00PsMJ1McSc8WcSc8W0XL-index.html,
